Time,Reltime,Treflect
9:22:39,39.1,21.75788
9:22:39,39.2,21.7366
9:22:39,39.3,21.75588
9:22:39,39.4,21.73903
9:22:39,39.5,21.79297
9:22:39,39.6,21.78613
9:22:39,39.7,21.72901
9:22:39,39.8,21.7092
9:22:39,39.9,21.75555
9:22:39,40,21.74089
9:22:40,40.1,21.74672
9:22:40,40.2,21.77837
9:22:40,40.3,21.78956
9:22:40,40.4,21.78207
9:22:40,40.5,21.76389
9:22:40,40.6,21.75432
9:22:40,40.7,21.76793
9:22:40,40.8,21.76472
9:22:40,40.9,21.80332
9:22:40,41,21.78331
9:22:41,41.1,21.76165
9:22:41,41.2,21.74627
9:22:41,41.3,21.71635
9:22:41,41.4,21.68794
9:22:41,41.5,21.74947
9:22:41,41.6,21.79034
9:22:41,41.7,21.79519
9:22:41,41.8,21.74364
9:22:41,41.9,21.73825
9:22:41,42,21.74451
9:22:42,42.1,21.76026
9:22:42,42.2,21.78656
9:22:42,42.3,21.77188
9:22:42,42.4,21.77561
9:22:42,42.5,21.79241
9:22:42,42.6,21.76016
9:22:42,42.7,21.81677
9:22:42,42.8,21.78847
9:22:42,42.9,21.74858
9:22:42,43,21.75984
9:22:43,43.1,21.71764
9:22:43,43.2,21.70343
9:22:43,43.3,21.74878
9:22:43,43.4,21.72098
9:22:43,43.5,21.69246
9:22:43,43.6,21.72517
9:22:43,43.7,21.72212
9:22:43,43.8,21.71779
9:22:43,43.9,21.76985
9:22:43,44,21.77853
9:22:44,44.1,21.75681
9:22:44,44.2,21.76517
9:22:44,44.3,21.80186
9:22:44,44.4,21.74665
9:22:44,44.5,21.72351
9:22:44,44.6,21.70532
9:22:44,44.7,21.72352
9:22:44,44.8,21.74605
9:22:44,44.9,21.70429
9:22:44,45,21.70591
9:22:45,45.1,21.71597
9:22:45,45.2,21.72846
9:22:45,45.3,21.72059
9:22:45,45.4,21.70766
9:22:45,45.5,21.70352
9:22:45,45.6,21.69661
9:22:45,45.7,21.73322
9:22:45,45.8,21.76616
9:22:45,45.9,21.74116
9:22:45,46,21.70551
9:22:46,46.1,21.73766
9:22:46,46.2,21.72135
9:22:46,46.3,21.72698
9:22:46,46.4,21.73893
9:22:46,46.5,21.80907
9:22:46,46.6,21.78474
9:22:46,46.7,21.77086
9:22:46,46.8,21.77086
9:22:46,46.9,21.77086
9:22:46,47,21.77086
9:22:47,47.1,21.77086
9:22:47,47.2,21.77086
9:22:47,47.3,21.77086
9:22:47,47.4,21.77086
9:22:47,47.5,21.77086
9:22:47,47.6,21.77086
9:22:47,47.7,21.77086
9:22:47,47.8,21.77086
9:22:47,47.9,21.69835
9:22:47,48,21.66796
9:22:48,48.1,21.69514
9:22:48,48.2,21.67444
9:22:48,48.3,21.67175
9:22:48,48.4,21.71657
9:22:48,48.5,21.69593
9:22:48,48.6,21.73942
9:22:48,48.7,21.75059
9:22:48,48.8,21.73507
9:22:48,48.9,21.71577
9:22:48,49,21.7266
9:22:49,49.1,21.70894
9:22:49,49.2,21.80929
9:22:49,49.3,21.83291
9:22:49,49.4,21.85101
9:22:49,49.5,21.8253
9:22:49,49.6,21.8401
9:22:49,49.7,21.846
9:22:49,49.8,21.82608
9:22:49,49.9,21.79875
9:22:49,50,21.79029
9:22:50,50.1,21.78241
9:22:50,50.2,21.78804
9:22:50,50.3,21.83849
9:22:50,50.4,21.83586
9:22:50,50.5,21.79984
9:22:50,50.6,21.82132
9:22:50,50.7,21.82096
9:22:50,50.8,21.79894
9:22:50,50.9,21.80486
9:22:50,51,21.82525
9:22:51,51.1,21.81886
9:22:51,51.2,21.79629
9:22:51,51.3,21.76795
9:22:51,51.4,21.80382
9:22:51,51.5,21.76643
9:22:51,51.6,21.7931
9:22:51,51.7,21.82261
9:22:51,51.8,21.82191
9:22:51,51.9,21.80616
9:22:51,52,21.82469
9:22:52,52.1,21.82998
9:22:52,52.2,21.80986
9:22:52,52.3,21.72643
9:22:52,52.4,21.71309
9:22:52,52.5,21.81831
9:22:52,52.6,21.8169
9:22:52,52.7,21.75822
9:22:52,52.8,21.78964
9:22:52,52.9,21.72159
9:22:52,53,21.73075
9:22:53,53.1,21.73238
9:22:53,53.2,21.74997
9:22:53,53.3,21.7835
9:22:53,53.4,21.74878
9:22:53,53.5,21.73121
9:22:53,53.6,21.77699
9:22:53,53.7,21.72963
9:22:53,53.8,21.76325
9:22:53,53.9,21.76088
9:22:53,54,21.72711
9:22:54,54.1,21.77808
9:22:54,54.2,21.77686
9:22:54,54.3,21.76043
9:22:54,54.4,21.8003
9:22:54,54.5,21.76024
9:22:54,54.6,21.76532
